,preds,label,genes
0,1,1,ENSG00000099194
1,0,0,ENSG00000068366
2,0,0,ENSG00000099797
3,0,0,ENSG00000084754 and ENSG00000138029 and ENSG00000167315
4,0,0,ENSG00000110090
5,0,0,ENSG00000101986
6,0,0,ENSG00000060971 and ENSG00000113790 and ENSG00000133835
7,0,0,ENSG00000169710
8,0,0,ENSG00000084754 and ENSG00000113790 and ENSG00000127884
9,0,0,ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721
10,0,0,ENSG00000149084
11,0,0,ENSG00000012779
12,0,0,ENSG00000134824
13,0,0,ENSG00000197375
14,0,1,ENSG00000089597
15,0,0,ENSG00000115275
16,1,1,ENSG00000118705 and ENSG00000129562 and ENSG00000134910 and ENSG00000163902 and ENSG00000244038
17,0,0,ENSG00000139133
18,0,0,ENSG00000155380
19,0,0,ENSG00000127125
20,0,1,ENSG00000163344
21,0,1,ENSG00000110921
22,0,0,ENSG00000124370
23,1,1,ENSG00000113161
24,0,0,ENSG00000124767
25,0,0,ENSG00000149313
26,0,0,ENSG00000151093
27,0,0,ENSG00000138814 and ENSG00000221823
28,0,0,ENSG00000055609 and ENSG00000272333
29,0,0,ENSG00000072062
30,0,0,ENSG00000157326
31,0,1,ENSG00000100714
32,0,0,ENSG00000065911
33,0,1,ENSG00000136877
34,0,0,ENSG00000132196
35,1,0,ENSG00000072506 and ENSG00000084754 and ENSG00000138796
36,0,0,ENSG00000151151
37,0,0,ENSG00000100605
38,0,0,ENSG00000068383
39,0,1,ENSG00000105655
40,0,0,ENSG00000040933
41,0,0,ENSG00000145725
42,0,1,ENSG00000007168
43,0,0,ENSG00000078142
44,0,0,ENSG00000131979
45,0,0,ENSG00000119723
46,0,0,ENSG00000083807
47,0,0,ENSG00000023330
48,0,0,ENSG00000093010
49,0,0,ENSG00000072506
50,0,0,ENSG00000083123 and ENSG00000142046 and ENSG00000248098
51,0,0,ENSG00000111716
52,0,0,ENSG00000070614
53,0,0,ENSG00000117528
54,0,1,ENSG00000105953
55,0,1,ENSG00000173085
56,0,0,ENSG00000167186
57,0,0,ENSG00000092621
58,0,0,ENSG00000135069
59,0,0,ENSG00000146701
60,0,0,ENSG00000001630
61,0,0,ENSG00000052802
62,0,0,ENSG00000143149
63,0,0,ENSG00000182199
64,0,0,ENSG00000176974
65,0,0,ENSG00000128039
66,0,0,ENSG00000150540
67,0,0,ENSG00000116649
68,0,0,ENSG00000102172
69,0,1,ENSG00000128059
70,0,1,ENSG00000178921
71,0,0,ENSG00000110871
72,0,0,ENSG00000099377
73,0,0,ENSG00000109929
74,0,0,ENSG00000023697
75,0,0,ENSG00000068903
76,0,0,ENSG00000162066
77,0,0,ENSG00000117305
78,0,0,ENSG00000131473
79,0,0,ENSG00000169359
80,1,1,ENSG00000091140 and ENSG00000131828 and ENSG00000150768 and ENSG00000168291
81,0,0,ENSG00000198931
82,0,1,ENSG00000101444
83,0,1,ENSG00000167508
84,0,0,ENSG00000156110
85,0,1,ENSG00000125454
86,0,0,ENSG00000106799 and ENSG00000163513
87,0,1,ENSG00000159131
88,0,0,ENSG00000033627
89,0,0,ENSG00000167900
90,0,0,ENSG00000114268
91,1,0,ENSG00000001084 and ENSG00000023909
92,0,0,ENSG00000067057
93,0,0,ENSG00000121879 and ENSG00000145675
94,1,1,ENSG00000128050
95,0,0,ENSG00000160209
96,0,0,ENSG00000159921
97,0,0,ENSG00000068120
98,0,1,ENSG00000084774
99,0,0,ENSG00000135002
100,0,1,ENSG00000127080
101,0,1,ENSG00000005022
102,1,1,ENSG00000168393
103,0,0,ENSG00000059573
104,0,0,ENSG00000173599
105,0,0,ENSG00000051382
106,0,0,ENSG00000100075
107,0,1,ENSG00000125166
108,0,0,ENSG00000183048
109,0,0,ENSG00000103064
110,0,0,ENSG00000196517
111,0,0,ENSG00000103257
112,0,1,ENSG00000119523
113,0,0,ENSG00000070669
114,0,0,ENSG00000131389
115,0,0,ENSG00000159322
116,0,1,ENSG00000033011
117,0,1,ENSG00000101290
118,0,0,ENSG00000185813
119,0,0,ENSG00000101558
120,0,0,ENSG00000117592
121,0,0,ENSG00000113504
122,0,0,ENSG00000156471
123,0,0,ENSG00000113273
124,0,0,ENSG00000064601 and ENSG00000141012 and ENSG00000170266 and ENSG00000204386
125,0,1,ENSG00000100412
126,0,0,ENSG00000062485
127,0,0,ENSG00000111726
128,0,0,ENSG00000164414
129,0,1,ENSG00000126088
130,1,1,ENSG00000151012 and ENSG00000168003
131,1,1,ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848
132,0,1,ENSG00000162368
133,1,1,ENSG00000067225
134,1,1,ENSG00000113456 and ENSG00000172613
135,0,0,ENSG00000173614
136,0,0,ENSG00000125458
137,0,0,ENSG00000100299
138,0,1,ENSG00000143774
139,0,1,ENSG00000109107
140,0,0,ENSG00000132570
141,1,1,ENSG00000176890
142,0,1,ENSG00000178700
143,0,1,ENSG00000119689
144,0,0,ENSG00000152904
145,0,0,ENSG00000067064
146,0,0,ENSG00000115350 and ENSG00000148229
147,1,1,ENSG00000030066 and ENSG00000047410 and ENSG00000058804 and ENSG00000069248 and ENSG00000075188 and ENSG00000085415 and ENSG00000093000 and ENSG00000094914 and ENSG00000095319 and ENSG00000101146 and ENSG00000102900 and ENSG00000108559 and ENSG00000110713 and ENSG00000111581 and ENSG00000113569 and ENSG00000119392 and ENSG00000120253 and ENSG00000124789 and ENSG00000125450 and ENSG00000126883 and ENSG00000132182 and ENSG00000136243 and ENSG00000138750 and ENSG00000139496 and ENSG00000153201 and ENSG00000153207 and ENSG00000155561 and ENSG00000157020 and ENSG00000157349 and ENSG00000163002 and ENSG00000196313 and ENSG00000213024
148,0,0,ENSG00000120697
149,0,1,ENSG00000175283
150,0,0,ENSG00000086848
151,0,0,ENSG00000060642
152,0,0,ENSG00000182858
153,0,1,ENSG00000000419 and ENSG00000136908 and ENSG00000179085
154,0,0,ENSG00000159063
155,0,0,ENSG00000088035
156,0,0,ENSG00000167130
157,0,0,ENSG00000069943
158,1,1,ENSG00000128951
159,0,0,ENSG00000125877
160,0,1,ENSG00000087111 and ENSG00000101464 and ENSG00000124155 and ENSG00000142892 and ENSG00000197858
161,0,0,ENSG00000138363
162,0,0,ENSG00000147454
163,0,0,ENSG00000173638
164,0,0,ENSG00000197894
165,0,0,ENSG00000105220
166,0,0,ENSG00000091483
167,0,0,ENSG00000071073
168,0,1,ENSG00000253710
169,0,0,ENSG00000176022
170,0,0,ENSG00000027847
171,1,1,ENSG00000111669
172,0,0,ENSG00000008513
173,0,0,ENSG00000104522
174,0,0,ENSG00000181830
175,0,0,ENSG00000160211
176,0,0,ENSG00000117394
177,0,0,ENSG00000277161
178,0,0,ENSG00000162688
179,0,0,ENSG00000148154
180,0,0,ENSG00000115652
181,0,0,ENSG00000172890
182,0,1,ENSG00000163655
183,0,0,ENSG00000115419
184,0,0,ENSG00000177542
185,0,1,ENSG00000091140 and ENSG00000105953 and ENSG00000119689
186,0,0,ENSG00000111371
187,0,0,ENSG00000144659
188,1,1,ENSG00000106105
189,0,1,ENSG00000108784
190,0,0,ENSG00000012232
191,0,0,ENSG00000153936
192,0,0,ENSG00000151348 and ENSG00000182197
193,0,0,ENSG00000064763
194,0,1,ENSG00000134294
195,1,1,ENSG00000112972
196,0,0,ENSG00000256269
197,0,1,ENSG00000090861
198,0,0,ENSG00000160285
199,0,1,ENSG00000113643
200,0,1,ENSG00000134440
201,0,1,ENSG00000115866
202,0,0,ENSG00000178537
203,0,1,ENSG00000110619
204,0,1,ENSG00000103257 and ENSG00000168003
205,0,1,ENSG00000172053
206,0,1,ENSG00000136628
207,0,1,ENSG00000170445
208,0,1,ENSG00000121897
209,0,0,ENSG00000144182
210,0,1,ENSG00000196305
211,0,1,ENSG00000133706
212,0,1,ENSG00000065427
213,1,1,ENSG00000166986
214,0,1,ENSG00000116120 and ENSG00000179115
215,1,1,ENSG00000031698
216,0,1,ENSG00000113407
217,1,1,ENSG00000140105
218,0,1,ENSG00000134684
219,0,1,ENSG00000204394
220,0,0,ENSG00000100294
221,0,1,ENSG00000100413
222,0,0,ENSG00000178802
223,0,0,ENSG00000116984
224,0,0,ENSG00000184470
225,0,1,ENSG00000101901
226,0,0,ENSG00000168282
227,1,1,ENSG00000114902 and ENSG00000118363 and ENSG00000129128 and ENSG00000140612 and ENSG00000166562
228,0,0,ENSG00000144136
229,0,1,ENSG00000033867
230,0,1,ENSG00000172269
231,0,0,ENSG00000007541 and ENSG00000100564 and ENSG00000135845 and ENSG00000165195
232,0,0,ENSG00000111261
233,0,0,ENSG00000013375
234,1,0,ENSG00000100522
235,0,0,ENSG00000095380
236,0,1,ENSG00000105835
237,0,0,ENSG00000147813
238,0,0,ENSG00000170340
239,0,0,ENSG00000131446
240,0,0,ENSG00000134255
241,0,1,ENSG00000196502
242,0,0,ENSG00000157593
243,0,1,ENSG00000241878
244,0,0,ENSG00000074800
245,0,0,ENSG00000171862
246,0,0,ENSG00000138621
247,0,1,ENSG00000103502
248,0,0,ENSG00000079459
249,0,1,ENSG00000163684
250,0,0,ENSG00000110958
251,0,0,ENSG00000143224
252,0,0,ENSG00000080819
253,0,1,ENSG00000114491
254,0,0,ENSG00000100092
255,0,0,ENSG00000082212
256,0,1,ENSG00000006695
257,0,0,ENSG00000131828 and ENSG00000168291
258,1,0,ENSG00000123505
259,0,0,ENSG00000116237
260,0,0,ENSG00000144741
261,0,0,ENSG00000111237
262,0,0,ENSG00000011009
263,0,0,ENSG00000119537
264,0,0,ENSG00000104549
265,0,1,ENSG00000073578 and ENSG00000117118 and ENSG00000143252 and ENSG00000204370
266,0,0,ENSG00000163541 and ENSG00000172340
267,0,0,ENSG00000139531
268,0,0,ENSG00000117479
269,0,0,ENSG00000101187
270,0,0,ENSG00000167969
271,0,0,ENSG00000132423
272,0,1,ENSG00000102967
273,0,0,ENSG00000158470
274,0,0,ENSG00000015532
275,0,0,ENSG00000102100
276,0,0,ENSG00000169764
277,0,0,ENSG00000117308
278,0,0,ENSG00000109814
279,0,0,ENSG00000116704
280,0,0,ENSG00000117143
281,0,0,ENSG00000130958
282,0,0,ENSG00000171302
283,0,0,ENSG00000122643
284,0,0,ENSG00000188690
285,1,1,ENSG00000030066 and ENSG00000069248 and ENSG00000075188 and ENSG00000110713 and ENSG00000111581 and ENSG00000120253 and ENSG00000125450
286,0,0,ENSG00000106348
287,0,0,ENSG00000170385
288,0,0,ENSG00000161533
289,0,0,ENSG00000177646
290,0,1,ENSG00000146066
291,0,0,ENSG00000175548
292,1,1,ENSG00000105568 and ENSG00000113575
293,0,0,ENSG00000060656
294,0,1,ENSG00000055609 and ENSG00000167548
295,0,0,ENSG00000126934 and ENSG00000169032
296,0,0,ENSG00000005882
297,1,1,ENSG00000111640
298,0,0,ENSG00000149809
299,0,0,ENSG00000132376
300,0,1,ENSG00000143398
301,0,0,ENSG00000143393
302,0,0,ENSG00000111684
303,0,0,ENSG00000140284
304,0,0,ENSG00000141526
305,0,0,ENSG00000151116
306,0,0,ENSG00000066322
307,0,1,ENSG00000102144
308,0,0,ENSG00000163738
309,0,0,ENSG00000187134
310,0,0,ENSG00000130313
311,0,0,ENSG00000205923
312,0,0,ENSG00000164039
313,0,0,ENSG00000141504
314,0,0,ENSG00000157184
315,0,0,ENSG00000162813
316,0,0,ENSG00000104365 and ENSG00000213341
317,0,1,ENSG00000047249
318,0,0,ENSG00000156515
319,0,0,ENSG00000141959
320,0,1,ENSG00000110721
321,0,0,ENSG00000278540
322,0,0,ENSG00000143179
323,0,1,ENSG00000171793
324,0,0,ENSG00000103024
325,0,0,ENSG00000105851
326,0,0,ENSG00000130304
327,0,0,ENSG00000105281
328,0,0,ENSG00000116353
329,0,0,ENSG00000161217
330,0,0,ENSG00000113163
331,0,0,ENSG00000008300
332,0,0,ENSG00000100997
333,0,0,ENSG00000141279
334,0,0,ENSG00000174669
335,1,1,ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848
336,0,0,ENSG00000239672
337,0,0,ENSG00000143627
338,0,0,ENSG00000179163
339,0,0,ENSG00000166228
340,1,1,ENSG00000228716
